2026-01-03 20:40:37 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444031_ful, 状态码: 500, 耗时: 0.084s
2026-01-03 20:40:38 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/agriculture_model_v1/versions, 状态码: 500, 耗时: 0.006s
2026-01-03 20:40:52 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444041_ful, 状态码: 500, 耗时: 0.004s
2026-01-03 20:40:56 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444041_ful, 状态码: 500, 耗时: 0.003s
2026-01-03 20:41:02 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444041_ful, 状态码: 500, 耗时: 0.004s
2026-01-03 20:41:06 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444041_ful, 状态码: 500, 耗时: 0.004s
2026-01-03 20:41:12 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444041_ful, 状态码: 500, 耗时: 0.003s
2026-01-03 20:41:17 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444072_ful, 状态码: 500, 耗时: 0.003s
2026-01-03 20:41:22 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444072_ful, 状态码: 500, 耗时: 0.002s
2026-01-03 20:41:27 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444072_ful, 状态码: 500, 耗时: 0.004s
2026-01-03 20:41:32 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444072_ful, 状态码: 500, 耗时: 0.002s
